file_name,paragraph
Interocean Oil Development Company and Interocean Oil Exploration Company v. Federal Republic of Nigeria_Award of the Tribunal,interference with reasonable and investment-backed expectations.2”! According to
David R Aven and Others v. Republic of Costa Rica_Award of the Tribunal-En,"(ii) the extent to which the government action interferes with distinct, reasonable investment-backed expectations; and"
David R Aven and Others v. Republic of Costa Rica_Award of the Tribunal-En,"20 (iii). That determining whether an indirect expropriation has occurred “requires a case-by-case, fact based inquiry” that considers, among other factors: (i) the economic impact of the government action; (ii) the extent to which that action interferes with distinct, reasonable investment-backed expectations; and (iii) the character of the government action, and then briefly addresses each;"
David R Aven and Others v. Republic of Costa Rica_Award of the Tribunal-En,"To support their argument, Claimants then expressed that two general principles of international law critically inform the construction and application of Article 10.5(1) DR- CAFTA for this case: (a) the principle of good faith and (b) the principle of due process. From the general international law principle of good faith flow two injunctions against host State behavior that results in: (1) frustration of the foreign investor’s legitimate, investment-backed expectations; and/or (2) arbitrary and/or discriminatory exercise of governmental authority, whether by willful intention or neglect. From the general international law principle of due process flows the obligation to accord procedural fairness to foreign investors, with respect to all decision-making processes, whether"
David R Aven and Others v. Republic of Costa Rica_Award of the Tribunal-En,"Claimants summarize the argument of frustration of the foreign investor’s legitimate, investment-backed expectations, and state that customary international law protects the foreign investor who is engaged in making important decisions concerning the establishment, expansion, and/or operation of his investment in the territory of the Host State. Informed by the principle of good faith, customary international law entitles the investor to expect that municipal administrative, regulatory and adjudicative regimes — and the officials responsible for operating them — will function in a transparent, stable and predictable manner’. The foreign investor, they add, is not entitled to expect perfection from these regimes, but he is entitled to expect officials to execute their responsibilities in good faith, with consistency and in a lawful manner. The investor thus enjoys the absolute right to be free from demands for illegal payments by host State officials — on the threat of withholding or revoking the permits required for the investment to succeed, and should a bribe ever be solicited, his complaint to the host State about the crime will be immediately and thoroughly investigated, in good faith, without suffering any retribution for having reported it to the proper authorities. These are the expectations that Claimants say have been sanctioned under customary international law and vouchsafed through Costa Rica’s participation in the DR-"
Alps Finance and Trade AG v. The Slovak Republic_Award (redacted version),"the finding of an “expropriation” requires that the investor be in the position to establish that it was deprived of a reasonably expected economic benefit of its investment! | ., however, undertook an investment which was “spec/ative or, in the best of circumstances, imprudent’. Shen it acquired the seceivables, the Claimant was indeed aware of the complexity and uncertainty of obtaining a full satisfaction in the context of bankruptcy. In addition, the wording itself of the Assignment Contract warned . _ of both 2. 2. , rights under the first assignment contract with and of the pending bankruptcy proceedings. ‘Therefore, : cannot be said to have bad reasonable investment-backed expectations, nor to"
Sergei Paushok CJSC Golden East Company and CJSC Vostokneftegaz Company v. The Government of Mongolia_Award on Jurisdiction and Liability,"255. To the extent that Claimants could make a claim with regard to a fair and equitable treatment violation under the Russian- Mongolian BIT, Claimants would have to show that their investment-backed expectations were reasonable and legitimate on the basis of the authorities cited by them. As set out above, the question of tax-related treatment requires a showing of reasonableness of expectations that is greater than may have been the case with regard to other subject matters. An investor, choosing not to commit to investing the required minimal amount and to apply for a stability agreement, does not meet this burden under the treaty."
Sergei Paushok CJSC Golden East Company and CJSC Vostokneftegaz Company v. The Government of Mongolia_Award on Jurisdiction and Liability,"Rather, the investor as a practical matter could have a reasonable investment-backed expectation only if it had in its hands an undertaking to that effect and that was bargained for and in exchange of a significant developmental contribution. In this case, Claimants did not commit to investing the required minimal amount and apply for such an undertaking. Therefore, Claimants cannot invoke a breach of the treatment protection in the Russian-Mongolian BIT with regard to changes in Mongolian tax laws.""""!7"
Sergei Paushok CJSC Golden East Company and CJSC Vostokneftegaz Company v. The Government of Mongolia_Award on Jurisdiction and Liability,"Respondent concludes that Article 3(1) contains one single standard of protection (rather than two as argued by Claimants): fair and equitable treatment limited to non- impairment by discriminatory measures, which standard is further limited as it extends only to the operation of and disposal with investments (as opposed to the latter's use and enjoyment). The result of this narrow definition of FET would be that a ""higher bar is set to establish the reasonableness of investment-backed expectations"" 139"
Vigotop Limited v. Hungary_Award,"206. More specifically, Claimant submits that by virtue of these measures, Respondent act- ed “arbitrarily, inconsistently, without transparency, lacking good faith and in viola- tion of the Claimant’s legitimate investment-backed expectations.” *° In this context, Claimant relies on investment treaty jurisprudence in its submission that violations of other standards of investment protection, such as the fair and equitable treatment (FET) standard (Article 3(1) of the Treaty), protection against unreasonable and discriminato-"
Vigotop Limited v. Hungary_Award,Claimant relies on the concept of a “creeping expropriation” and submits that the Tri- bunal must examine each of Respondent’s acts against the broader chronology of events. Claimant submits that Respondent’s actions destroyed Claimant’s legitimate investment-backed expectations and that their cumulative effect constituted an expro- priation.”°°
Pac Rim Cayman LLC v. Republic of El Salvador_Decision on the Respondents Preliminary Objections under CAFTA Articles 10.20.4 and 10.20.5,"53. Since 2002, Pacific Rim, PRC, and the Enterprises have spent many tens of millions of U.S. dollars in El Salvador on infrastructure, community development initiatives, and mineral exploration and development activities related to the El Dorado Project. Their activities in El Salvador have been undertaken in reliance on and with the reasonable investment-backed expectation of being able to engage in income-generating mine development pursuant to a legally authorized exploitation concession. To ensure their entitlement to such a concession, the Enterprises have complied at all times with the provisions of the Mining Law, the Environmental Law, and all other relevant Salvadoran laws. Their continued investment in El Salvador has been based on the Government's express support for the Enterprises’ mining operations in the country.*! As of this filing, Pacific Rim, PRC, and the Enterprises have invested in excess of US$ 77 million in mining operations and related activities in El Salvador."
Glamis Gold Ltd v. The United States of America_Award,"Claimant’s reasonable investment-backed expectations, and thus whether such an effect"
Glamis Gold Ltd v. The United States of America_Award,"such a final agency act because, they claim, economic impact and interference with reasonable investment-backed expectations (the first and second factors in the three- factor factual analysis of takings described by the U.S. Supreme Court) “simply cannot"
Glamis Gold Ltd v. The United States of America_Award,"investment-backed expectations of a stable regulatory framework,’ and (2) the purpose"
Glamis Gold Ltd v. The United States of America_Award,"74 Cane Tenn., Inc. v. United States, 63 Fed. Cl. 715 (2005), quoting Cienega Gardens v. United States, 331 F.3d 1319, 1345-46 (2003) (internal citations omitted) (“The purpose of consideration of plainti investment-backed expectations is to limit recoveries to property owners who can demonstrate that ‘they bought their property in reliance on a state of affairs that did not include the challenged regulatory regime.””)."
Glamis Gold Ltd v. The United States of America_Award,"measures upset its legitimate, investment-backed expectations must fail Respondent argues that Claimant “could not have reasonably expected that California would never impose more specific reclamation requirements including backfilling requirements, for open-pit metallic mines in the State.”'*° Furthermore, according to Respondent, both the legislation and the regulations “merely specified pre-existing"
Glamis Gold Ltd v. The United States of America_Award,"which an investor has based its reasonable, investment-backed expectations."
Glamis Gold Ltd v. The United States of America_Award,"766. Fourth, as the Tribunal has explained in its discussion of the 1105 legal standard, a violation of Article 1105 based on the unsettling of reasonable, investment-backed expectation requires, as a threshold circumstance, at least a quasi-contractual relationship between the State and the investor, whereby the State has purposely and specifically"
Glamis Gold Ltd v. The United States of America_Award,"predictable framework that upset its reasonable, investment-backed expectations."
Glamis Gold Ltd v. The United States of America_Award,"809. The inquiry as to whether the California’s requirement of mandatory backfilling repudiates Claimant’s reasonable, investment-backed expectations turns again on the threshold inquiry of whether or not there were specific assurances from the State of"
Parkerings-Compagniet AS v. Republic of Lithuania_Award,"The Respondent alleges that not every regulatory action that creates a business problem amounts to a treaty violation.” For the Respondent, the Claimant should prove that “the Government's conduct frustrated the investor's investment-backed"
Bayindir Insaat Turizm Ticaret Ve Sanayi AS v. Islamic Republic of Pakistan_Award,"""Fair and equitable treatment [ ... ] includes a number of component principles, including, the provision of a stable framework for the investment; refraining from arbitrary and discriminatory conduct; providing transparency and due process; acting in good faith; providing security for reasonable investment-backed expectations and refraining from harassment, intimidation and coercion of the"
Hupacasath First Nation v. Canada (Minister of Foreign Affairs)_Federal Court Decision-En,"[111] HEN also submits that the prohibition on indirect expropriation will reduce the scope of potential measures that may be taken to preserve its land and resources. As with the MST obligation in Article 4, HFN states that there is a significant level of uncertainty regarding the extent to which measures may be found to constitute indirect expropriation. It adds that it is clear that legitimate government measures enacted in the public interest can constitute expropriation, even in the absence of discrimination. In addition, citing the decision of the NAFTA panel in Metalclad, above, it states that the investment-backed legitimate expectations of an investor will be taken into account in assessing whether there has been an indirect expropriation. Furthermore, it maintains that a measure which has a substantial adverse impact on the value of an investment may be found to constitute"
Michael Ballantine and Lisa Ballantine v. The Dominican Republic_Final Award-En,"(i) the economic impact of the government action [...] (ii) the extent to which the government action interferes with distinct, reasonable investment-backed expectations; and (iii) the character of the government action.**"
Firemans Fund Insurance Company v. The United Mexican States_Award (redacted version)-En,(k) The investor’s reasonable “investment-backed expectations” may be a 48
Azurix Corp v. The Argentine Republic_Award-En,"341. In its Reply, the Claimant alleges that the interpretation of Article II(2)(a) of the BIT by the Respondent is erroneous. According to the Claimant, the basic touchstone of fair and equitable treatment is to be found in the legitimate and reasonable expectations of the parties. The Claimant considers that, as recommended by Jan Paulsson, the Tribunal should examine ""the impact of the measure on the reasonable investment backed-expectations of the investor, and whether the state is attempting to avoid investment-backed expectations that the state created or reinforced through its own acts.””° The Claimant finds support for this view in Tecmed where the tribunal held that fair and equitable treatment requires treatment by the Contracting Parties “that does not affect the basic expectations that were taken into account by the"
Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan_Decision on Jurisdiction and Liability,"What, then, is the content of this autonomous FET standard? In the Tribunal's view, a dominant principle of the FET standard is the protection of the investor's legitimate, investment-backed expectations. The Parties both accept this obligation, although Respondent emphasizes that the concept of legitimate expectations does not simply correspond to any subjective hopes of the investor, but is rather qualified by objective requirements, such as reasonableness, existence of specific representations made by the State, causality for the investment decision, balance of interests and the investor's conduct. Claimant agrees that expectations deserve protection only if they are reasonable and does not expressly dispute the other qualifiers."
Windstream Energy LLC v. Government of Canada_Award,"interferes with distinct, reasonable investment-backed expectations; and (iii) the character of the"
Windstream Energy LLC v. Government of Canada_Award,"276. Mexico submits that “the existence (or non-existence) of investor’s ‘distinct, reasonable, investment-backed expectations’ is at most a factor to consider in determining whether a measure or series of measures have risen to the level of an indirect expropriation.”*’ According to Mexico, “a host state’s failure to satisfy such expectations does not amount to an indirect expropriation.”*** Mexico adds that a bona fide regulatory action taken in the public interest that adversely affects the value or viability of an investment will not ordinarily amount to an indirect"
Beijing Shougang and others v. Mongolia_Award,"the term “measures having effect equivalent to nationalisation or expropriation” covers indirect expropriation, but without dispensing with the requirement of a substantial or total deprivation of (i) the economic value of an investment .. . , (ii) fundamental ownership rights, or (iii) deprivation of legitimate investment-backed expectations. . . . the Tribunal should evaluate whether the “net effect” of the measure (or set of measures) is the same as an outright expropriation, i.e., a substantial or total deprivation of the economic value of an asset.>°°"
Unión Fenosa Gas SA v. Arab Republic of Egypt_Award of the Tribunal,"9.36 Turning to the Claimant’s Free Zone claim in respect of SEGAS, the Respondent contends that the claim is meritless for four reasons: (i) absent a stabilisation agreement, changes in the Respondent’s tax regulations cannot give rise to a violation of the Treaty’s FET standard; (ii) it is undisputed that the Parties never entered into a tax stabilisation agreement; (iii) the Claimant bears the consequences of its decision to invest despite the lack of any stabilisation agreement and in any event fails to show any investment-backed expectations; and (iv) the change in the legal framework governing free zones was fair and equitable in light of the circumstances.”> The Respondent further notes that this claim is absent from the Claimant’s Reply"
Cargill Incorporated v. Republic of Poland_Final Award,6.2.4 Cargill lacked a reasonable investment-backed expectation
Cargill Incorporated v. Republic of Poland_Final Award,". Cargill had reasonable investment-backed expectations that were undermined by the Respondent. Caigill's expectations were based on, inter alia, the absence of quotas when Cargill initially decided to invest in isoglucose in Poland, the support and encouragement of government officials, assurances that any future quotas in Poland would be based on market demand and production capacity, and evidence of market demand for isoglucose in Poland. The Claimant reasonably expected that it would be allowed to produce to the fullest extent permitted by the market."
Cargill Incorporated v. Republic of Poland_Final Award,"In the present case, given the regulatory context, Cargill did not have — and should not have had — reasonable investment-backed expectations that its rights to develop and later expand its production facility would not be affected by production quotas. Indeed, “Poland's impending accession to the EU was a clear and definitive signal of the type and intensity of regulation that Cargill should have expected [...] Likewise, Cargill ignored many other signals both prior to its initial investment and at each phase of its alleged expansion process as well’ (Poland’s Counter-Memorial, p. 139). Cargill installed and expanded its production capacity with the knowledge that its product was certain to be regulated."
Cargill Incorporated v. United Mexican States_Award (redacted version)-En,investment-backed expectations; and (3) the character of the governmental action.
Cargill Incorporated v. United Mexican States_Award (redacted version)-En,"As mentioned above, Claimant asserts that there are three factors to be assessed when considering whether a governmental measure is a non-compensable regulation or a compensable expropriation: (1) the degree of the interference with the property right; (2) the extent to which the measures interfered with reasonable and investment-backed expectations; and (3) the character of the governmental action. The contentions of the Parties are reviewed with reference to these three factors, and in the case of the first factor further subdivided into “the extent of the interference” and “the duration of the"
Cargill Incorporated v. United Mexican States_Award (redacted version)-En,"Reasonable and Investment-Backed Expectations Claimant’s argument that Respondent’s measures defeated its legitimate expectations was presented previously in the discussion of Article 1105, at paragraphs 249-252, and 254. In summation, Claimant argues that it “reasonably expected that Mexico would adhere to its NAFTA obligations and allow the growing competition between HFCS and sugar to sweeten Mexican soft drinks to be decided on the merits.” Claimant contends that Respondent defeated these expectations by “instead implementing special measures with the purpose and effect of giving domestic sugar an insuperable advantage in that competitive struggle ....” Claimant submits that, although it was fully prepared for the risks of the marketplace, it could not “reasonably expect—nor does the law require it to expect—that Mexico would target its investment and"
Aaron C Berkowitz Brett E Berkowitz and Trevor B Berkowitz v. Republic of Costa Rica_Interim Award of the Tribunal (Corrected)-En,"136. The Respondent also notes the Glamis Gold conclusion that a violation of the minimum standard of treatment requirement “based on the unsettling of reasonable, investment-backed expectation requires, as a threshold circumstance, at least a quasi-contractual relationship between the State and the investor, whereby the State has purposely and specifically induced the investment.” Citing, inter alia, to Merrill & Ring (2010) and ADF Group Inc. v. United States (2003),!°° the Respondent contends that tribunals “have also interpreted the minimum standard to exclude protection of an investor’s legitimate expectations when there has been no explicit government action inducing the investor to invest.” In the Respondent’s contention, the minimum standard of treatment under customary international law “does not include an obligation not to frustrate an investor’s legitimate expectations, such as expectations of legal stability absent express government inducement of such expectations.” In this regard, the Respondent submits that it never purposely or specifically prompted the Claimants to purchase their properties in the Park and that there is no evidence of any contract-like relationship between the Claimants and the Respondent that encouraged the Claimants’ decision to buy land in Costa Rica. Citing, inter alia, to the award"
Aaron C Berkowitz Brett E Berkowitz and Trevor B Berkowitz v. Republic of Costa Rica_Interim Award on Jurisdiction-En,"136. The Respondent also notes the Glamis Gold conclusion that a violation of the minimum standard of treatment requirement “based on the unsettling of reasonable, investment-backed expectation requires, as a threshold circumstance, at least a quasi-contractual relationship between the State and the investor, whereby the State has purposely and specifically induced the investment.”!*! Citing, inter alia, to Merrill & Ring (2010) and ADF Group Inc. v. United States (2003),'*? the Respondent contends that tribunals “have also interpreted the minimum standard to exclude protection of an investor’s legitimate expectations when there has been no explicit government action inducing the investor to invest.” In the Respondent’s contention, the minimum standard of treatment under customary international law “does not include an obligation not to frustrate an investor’s legitimate expectations, such as expectations of legal stability absent express government inducement of such expectations.” In this regard, the Respondent submits that it never purposely or specifically prompted the Claimants to purchase their properties in the Park and that there is no evidence of any contract-like relationship between the Claimants and the Respondent that encouraged the Claimants’ decision to buy land in Costa Rica. Citing, inter alia, to the award"
Silver Ridge Power BV v. Italian Republic (ICSID Case No. ARB-15-37)_Award of the Tribunal,"Secondly, the Claimant contends that the Frosinone plants were subjected to measures having effect equivalent to nationalization or expropriation in the meaning of Article 13(1) of the ECT and that they do not fall within any of the exceptions defined in subparagraphs a) through d) of that provision. In particular, after these plants were fully constructed and were providing electricity to the grid, the Respondent replaced the Fourth Energy Account with the Fifth Energy Account, thus abandoning the fixed FIT and instead putting into place a price-support mechanism that only paid the difference between the market price for electricity and a specified nominal amount. According to the Claimant, this measure applied retroactively to plants built and entered into service in reliance on the previous incentive regime. As the revenues under the Fifth Energy Account are insufficient to offset the cost of acquiring, constructing and putting into service the Frosinone plants, they cannot generate a positive return for the Claimant. The measures’ retroactive character combined with their interference with distinct, reasonable investment-backed expectations thus resulted, in the Claimant’s submission, in the transfer of wealth from PV investors to the Italian administration, thus confirming the expropriatory character of these measures (Cl. Memorial, paras. 33,"
Grand River Enterprises Six Nations Ltd et al v. United States of America_Award (redacted version),"In his claims under both NAFTA Articles 1105 and 1110, Arthur Montour contended that the disputed the ry i were inconsistent with his reasonable investment-backed expectations. The Respondent agreed that the issue of an investor’s reasonable expectations can be relevant to a claim of regulatory expropriation under NAFTA Article 1110, but maintained that"
Corn Products International v. United Mexican States_Decision on Responsibility (redacted version)-En,(k) The investor’s reasonable ‘investment-backed expectations’ may be a relevant factor whether (indirect) expropriation has occurred.”!®
Thomas Gosling and others v. Republic of Mauritius_Award,"Second, the Respondent argues that the Claimants had no reasonable investment-backed expectation that Mauritius would not limit development in pursuit of the goal of inscription of Le Morne in the UNESCO World Heritage List.'!** The Respondent disputes the Claimants’ assertions that the LOI constituted “a promise or specific assurance that the Promoters could develop their Project irrespective of the efforts to inscribe Le Morne.”!*> The Respondent explains that the LOI merely notes the willingness of the Government to consider granting a developer the incentives specified in the IRS Regulations, and even"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","(ii) _ the extent to which the measure or series of measures interfere with distinct, reasonable investment-backed expectations, and"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","transparency with no arbitrariness or capricious in discretionary decision-making, of fairness, clarity, non-ambiguity and predictability.°”> Whilst the reference cited from the Oxford Handbook on International Investment Law is in relation to fair and equitable treatment, the international law treatment of good faith is imported into the police powers doctrine by the express reference in Annex 811(2)(b) to the requirement that a measure be taken in good faith such that the analysis to be undertaken is the same whether being conducted with respect to the ability to rely on the police powers exception or a minimum standard of treatment analysis.*”* Indeed, Annex 811(2)(a) expressly refers to reasonable investment-backed expectations as one of the three specified factors to take into account"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","towards a frustration or violation of legitimate expectations; the provision is narrower, referring to the extent to which there is interference with reasonable investment-backed expectations. A reasonable investment-backed expectation is one held at the time of making the investment, it causes the investor to make the investment, and there is clearly an obligation on the investor to undertake due diligence both before making the investment and"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum",Eco Oro cannot have had any distinct reasonable investment-backed expectations that it
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","Colombia did not give Eco Oro any specific assurance that measures would not be taken to protect the paramo within Concession 3452 and Eco Oro could not have held any reasonable investment-backed expectation that it would be permitted to mine in the entirety of Concession 3452. Such a belief could not have survived even basic due diligence. No commitments were given to Eco Oro, nor is there any evidence that Eco Oro made its investment in reliance upon any such commitment. No stabilization agreement was entered into and, by entering into Concession 3452, Eco Oro voluntarily subjected itself to the regime provided for under the 2001 Mining Code; it is irrelevant whether any previous regime did contain such a guarantee. The 2001 Mining Code and applicable legislation at that time did not contain any guarantees that measures would not be taken to protect the environment from the effects of mining exploitation. It merely confirmed that the laws applicable to the concession are the “mining laws in force at the time that the concession contract is"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","In considering the Annex 811(2)(a) factors in carrying out this exercise, the Tribunal also considers whether the Challenged Measures interfered with any distinct reasonable investment-backed expectations. To determine this the Tribunal follows the test applied by the tribunals in Methanex and Oxus: did the State give specific commitments that it would refrain from the acts complained of. A distinct reasonable investment-backed expectation cannot be the same as a legitimate expectation and the Tribunal agrees with the answer given by Mr. Pape to Professor Sands at the Hearing that there must be an obligation on an investor claiming that its reasonable investment-backed expectations has been breached, to have undertaken its own due diligence before relying on any encouragement or support given by"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","Did Colombia make any other representations that gave rise to distinct, investment-backed expectations? It is correct that Colombia made representations to Eco Oro as to its support for the project. It was known by Colombia at the time Concession 3452 was granted to Eco Oro that the paramo overlapped with the concession area and yet not only was Concession 3452 granted to Eco Oro but Eco Oro also received significant encouragement from a number of different State bodies that it would be permitted to undertake exploitation activities throughout its concession area. For example, Eco Oro says that President Santos expressed his support at a meeting Eco Oro attended with him and his Chief of Staff in February 2016 during which he encouraged Eco Oro to apply for its environmental licence as soon as possible so that the Project could be showcased as a post paramo delimitation success story.’!” Whilst the only evidence of what was apparently said by President Santos was given by Mr. Moseley-Williams, it was not denied that this meeting took place. Indeed, two years before Concession 3452 was executed, the Vetas-California Mining District was"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","In the context of considering whether Colombia is in breach of Article 811, the Tribunal determined by a majority that Eco Oro did not have any investment-backed legitimate expectations on the basis that the statements made in Permit 3452 and the 1988 Mining Code did not constitute legitimate representations on which Eco Oro could rely in making its investment. The Tribunal has also determined by a majority that Article 46 of the 2001 Mining Code is not a stabilisation clause and, had Eco Oro undertaken appropriate due diligence, it would have been advised that Colombia could retrospectively impose a mining"
"Eco Oro Minerals Corp v. Republic of Colombia_Decision on Jurisdiction, Liability and Directions on Quantum","The Tribunal notes that its analysis with respect to Article 805 is as to legitimate expectations and not “reasonable investment-backed expectations”, as is the case with an Article 811"
RosInvestCo UK Ltd v. The Russian Federation_Final Award,"(I) WHETHER, IN ANY EVENT, CLAIMANT HAD NO LEGITIMATE INVESTMENT-BACKED"
RosInvestCo UK Ltd v. The Russian Federation_Final Award,"expropriation” covers indirect expropriation, but without dispensing with the requirement of a substantial or total deprivation of (i) the economic value of an investment (as Claimant articulated the standard at the hearing), (ii) fundamental ownership rights, in particular, control of an ongoing business, or (iii) deprivation of legitimate investment-backed expectations."
RosInvestCo UK Ltd v. The Russian Federation_Final Award,"Q) Whether, in any event, Claimant had no legitimate investment-backed expectations"
RosInvestCo UK Ltd v. The Russian Federation_Final Award,"583. Respondent argues that a protected investment depends upon a reasonable expectation of a profit, It cites Consortium RFCC v. Morocco (RLA-58) to support its claim that Government action must deprive the investor of a distinct, reasonable investment-backed expectation. Respondent also argues that even if Claimant qualified as an investor after 19 November 2004, Claimant must have accepted the tax regime as it existed at the time of the making of the investment and should have expected the enforcement measures that followed. Speculation that tax measures might not be enforced does"
RosInvestCo UK Ltd v. The Russian Federation_Final Award,"w Respondent’s view that that the term “measures having effect : equivalent to nationalisation or expropriation” covers indirect expropriation, but without dispensing with the requirement of a substantial or total deprivation of (i) the economic value of an investment (as Claimant articulated the standard at the hearing), (ii) fundamental ownership rights, in particular, control of an ongoing business, or (iii) deprivation of legitimate investment-backed expectations. However, in that regard Claimant’s argument is indeed relevant that, in determining whether a measure (or set of measures) is “equivalent to” expropriation, the Tribunal should evaluate whether the “net effect” of the measure (or set of measures) is the same as an outright expropriation, i.e., a substantial or total deprivation of the economic value of an asset (see also pp. 719-721"
Railroad Development Corporation v. Republic of Guatemala_Award,1. FVG’s Usufruct Rights under Contract 143/158 oo.....cccececeeeeeesesteeeescseeeeeeeeeees 30 Analysis Of the TriDUNAL ......c.ccccccscscccsceescsesescecseseseeececenecsceesescesseseseeneneneesneneesees 30 2. The Character of the Government's ACtiON .........ccceesseeeecsescseseseeseesteseeeeeseeeeesee 33 Analysis Of the TriDUNAL ......c.ccccccscscccsceescsesescecseseseeececenecsceesescesseseseeneneneesneneesees 33 3. The Purpose of the M@@SUre@.......ccccecseece cscs csescsceeseessesseseeescecssseeceseceseeeaseeeaeeceesees 35 Analysis Of the TriDUNAL ......c.ccccccscscccsceescsesescecseseseeececenecsceesescesseseseeneneneesneneesees 35 4. Investment-backed Expectations ........cccccccceeseescseseeeeesescseseeceseeseseseeescecseies 39
Railroad Development Corporation v. Republic of Guatemala_Award,"(iv) Local courts, police and municipalities consistently relied upon the Lesivo Resolution as a basis to deny protection to, issue rulings against and allow theft of and vandalism against FVG’s Usufruct property.” (para. 133) 44. According to Claimant, the Lesivo Resolution interfered with Claimant's reasonable investment-backed expectations: the rolling stock was an express component of the award of the 50-year Usufruct to operate the railroad, and RDC had the expectation that each of the Usufruct Contracts would be awarded, executed and approved in accordance with Guatemalan law."
