Document Name,Date,Link,Status,Arbitrators,Arbitrator Status,Case Name
Concurring and Dissenting Opinion of Gary Born,,/en/document/opinion/en-biwater-gauff-tanzania-limited-v-united-republic-of-tanzania-concurring-and-dissenting-opinion-of-gary-born-friday-18th-july-2008#opinion_75,Decided in favor of neither Party,"Toby Landau, Gary B. Born, Bernard R. Hanotiau","Appointed by the State, Appointed by the investor, President","Biwater Gauff (Tanzania) Limited v. United Republic of Tanzania, ICSID Case No. ARB/05/22"
Dissenting Opinion of Arbitrator Orrego Vicuña (Decision on Liability),,/en/document/opinion/en-burlington-resources-inc-v-republic-of-ecuador-dissenting-opinion-of-arbitrator-orrego-vicuna-decision-on-liability-thursday-8th-november-2012#opinion_46,Decided in favor of investor,"Brigitte Stern, Gabrielle Kaufmann-Kohler, Francisco Orrego Vicuña","Appointed by the State, President, Appointed by the investor","Burlington Resources, Inc. v. Republic of Ecuador, ICSID Case No. ARB/08/5"
Dissenting Opinion of Arbitrator David R. Haigh,,/en/document/opinion/en-cc-devas-mauritius-ltd-devas-employees-mauritius-private-limited-and-telcom-devas-mauritius-limited-v-republic-of-india-dissenting-opinion-of-arbitrator-david-r-haigh-monday-25th-july-2016#opinion_271,Decided in favor of investor,,,"CC/Devas (Mauritius) Ltd., Devas Employees Mauritius Private Limited, and Telcom Devas Mauritius Limited v. Republic of India, PCA Case No. 2013-09"
Dissenting Opinion of the Hon. Shri Justice Anil Dev Singh,,/en/document/opinion/en-cc-devas-mauritius-ltd-devas-employees-mauritius-private-limited-and-telcom-devas-mauritius-limited-v-republic-of-india-dissenting-opinion-of-the-hon-shri-justice-anil-dev-singh-tuesday-13th-october-2020#opinion_2733,Decided in favor of investor,,,"CC/Devas (Mauritius) Ltd., Devas Employees Mauritius Private Limited, and Telcom Devas Mauritius Limited v. Republic of India, PCA Case No. 2013-09"
Dissenting opinion of Jaroslav Hándl (Partial Award),,/en/document/opinion/en-cme-czech-republic-b-v-v-the-czech-republic-dissenting-opinion-of-the-arbitrator-judr-jaroslav-handl-partial-award-thursday-13th-september-2001#opinion_113,Decided in favor of investor,"Stephen M. Schwebel, Wolfgang Kühn, Ian Brownlie","Appointed by the investor, President, Appointed by the State",CME Czech Republic B.V. v. The Czech Republic
Dissenting Opinion of Alexis Mourre,,/en/document/opinion/en-capital-financial-holdings-luxembourg-s-a-v-republic-of-cameroon-dissenting-opinion-of-alexis-mourre-thursday-22nd-june-2017#opinion_1,Decided in favor of State,,,"Capital Financial Holdings Luxembourg S.A. v. Republic of Cameroon, ICSID Case No. ARB/15/18"
Partial Dissenting Opinion by Arbitrator Oscar M. Garibaldi,,/en/document/opinion/en-carlos-rios-and-francisco-rios-v-republic-of-chile-partial-dissenting-opinion-by-arbitrator-oscar-m-garibaldi-monday-11th-january-2021#opinion_2715,Decided in favor of State,"Anna Joubin-Bret, Gabrielle Kaufmann-Kohler, Oscar M. Garibaldi, Brigitte Stern","Appointed by the State (resigned), President, Appointed by the investor, Appointed by the State","Carlos Ríos and Francisco Ríos v. Republic of Chile, ICSID Case No. ARB/17/16"
Dissenting Opinion on Respondent’s Second Preliminary Objection and Declaration of Dissent concerning its First and Third Preliminary Objections of Arbitrator Santiago Torres Bernárdez,,/en/document/opinion/en-casinos-austria-international-gmbh-and-casinos-austria-aktiengesellschaft-v-argentine-republic-dissenting-opinion-of-arbitrator-santiago-torres-bernardez-friday-29th-june-2018#opinion_1978,Pending (Annulment),,,"Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/14/32"
Dissenting Opinion of Dr. Santiago Torres Bernárdez,,/en/document/opinion/en-casinos-austria-international-gmbh-and-casinos-austria-aktiengesellschaft-v-argentine-republic-dissenting-opinion-of-dr-santiago-torres-bernardez-friday-5th-november-2021#opinion_2796,Pending (Annulment),,,"Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/14/32"
Partial Dissenting Opinion of Ricardo Ramírez Hernández,,/en/document/opinion/en-cervin-investissements-s-a-and-rhone-investissements-s-a-v-republic-of-costa-rica-partial-dissenting-opinion-of-ricardo-ramirez-hernandez-wednesday-22nd-february-2017#opinion_5,Decided in favor of neither Party,,,"Cervin Investissements S.A. and Rhone Investissements S.A. v. Republic of Costa Rica, ICSID Case No. ARB/13/2"
Dissenting Opinion of Ricardo Ramírez Hernández (Decision on Jurisdiction),,/en/document/opinion/en-cervin-investissements-s-a-and-rhone-investissements-s-a-v-republic-of-costa-rica-dissenting-opinion-of-ricardo-ramirez-hernandez-decision-on-jurisdiction-monday-1st-december-2014#opinion_4,Decided in favor of neither Party,,,"Cervin Investissements S.A. and Rhone Investissements S.A. v. Republic of Costa Rica, ICSID Case No. ARB/13/2"
Dissenting Opinion of Guido Santiago Tawil,,/en/document/opinion/en-charanne-b-v-and-construction-investments-s-a-r-l-v-spain-dissenting-opinion-of-guido-santiago-tawil-thursday-21st-january-2016#opinion_10,Decided in favor of State,"Claus von Wobeser, Guido Santiago Tawil, Alexis Mourre","Appointed by the State, Appointed by the investor, President","Charanne B.V. and Construction Investments S.A.R.L. v. Spain, SCC Case No. 062/2012"
Dissenting Opinion of Georges Abi-Saab (Decision on Respondent's Request for Reconsideration),,/en/document/opinion/en-conocophillips-petrozuata-b-v-conocophillips-hamaca-b-v-and-conocophillips-gulf-of-paria-b-v-v-bolivarian-republic-of-venezuela-dissenting-opinion-of-georges-abi-saab-decision-on-respondents-request-for-reconsideration-monday-10th-march-2014#opinion_59,Pending (Annulment),,,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/30"
Dissenting Opinion of Andreas Bucher,,/en/document/opinion/en-conocophillips-petrozuata-b-v-conocophillips-hamaca-b-v-and-conocophillips-gulf-of-paria-b-v-v-bolivarian-republic-of-venezuela-dissenting-opinion-of-andreas-bucher-tuesday-9th-february-2016#opinion_60,Pending (Annulment),,,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/30"
Dissenting Opinion of Georges Abi-Saab (Decision on Jurisdiction and Merits),,/en/document/opinion/en-conocophillips-petrozuata-b-v-conocophillips-hamaca-b-v-and-conocophillips-gulf-of-paria-b-v-v-bolivarian-republic-of-venezuela-dissenting-opinion-of-georges-abi-saab-decision-on-jurisdiction-and-merits-tuesday-3rd-september-2013#opinion_58,Pending (Annulment),,,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/30"
Separate and Partial Dissenting Opinion of Professor Christian Tomuschat,,/en/document/opinion/en-cube-infrastructure-fund-sicav-and-others-v-kingdom-of-spain-separate-and-partial-dissenting-opinion-of-professor-christian-tomuschat-tuesday-19th-february-2019#opinion_2548,Decided in favor of investor,"Jacomijn J. van Haersolte-van Hof, Álvaro Rodrigo Castellanos Howell, Timothy J. Feighery","President of the Ad Hoc Committee, Member, Member","Cube Infrastructure Fund SICAV and others v. Kingdom of Spain, ICSID Case No. ARB/15/20"
Dissenting Opinion of Judge Charles N. Brower (Award),,/en/document/opinion/en-daimler-financial-services-ag-v-argentine-republic-dissenting-opinion-of-judge-charles-n-brower-award-wednesday-15th-august-2012#opinion_76,Decided in favor of State,"Makhdoom Ali Khan, Florentino P. Feliciano, Eduardo Zuleta Jaramillo","Member, Member, President of the Ad Hoc Committee","Daimler Financial Services AG v. Argentine Republic, ICSID Case No. ARB/05/1"
Separate Dissenting Jurisdictional Statement of Michael Chertoff,,/en/document/opinion/en-detroit-international-bridge-company-v-government-of-canada-separate-dissenting-jurisdictional-statement-thursday-2nd-april-2015#opinion_20,Decided in favor of State,,,"Detroit International Bridge Company v. Government of Canada, PCA Case No. 2012-25"
Dissenting Opinion of Makhdoom Ali Khan (Award),,/en/document/opinion/en-deutsche-bank-ag-v-democratic-socialist-republic-of-sri-lanka-dissenting-opinion-of-makhdoom-ali-khan-award-tuesday-23rd-october-2012#opinion_38,Decided in favor of investor,"Makhdoom Ali Khan, David A.R. Williams, Bernard R. Hanotiau","Appointed by the State, Appointed by the investor, President","Deutsche Bank AG v. Democratic Socialist Republic of Sri Lanka, ICSID Case No. ARB/09/2"
Dissent regarding costs of Mr. Arthur W. Rovine (Award),,/en/document/opinion/en-edf-services-limited-v-republic-of-romania-dissent-regarding-costs-of-mr-arthur-w-rovine-award-friday-2nd-october-2009#opinion_78,Decided in favor of State,,,"EDF (Services) Limited v. Republic of Romania, ICSID Case No. ARB/05/13"
Partial Dissenting Opinion of Robert Volterra (Final Award),,/en/document/opinion/en-eastern-sugar-b-v-v-the-czech-republic-partial-dissenting-opinion-of-robert-volterra-final-award-thursday-12th-april-2007#opinion_90,Decided in favor of investor,"Emmanuel Gaillard, Robert Volterra, Pierre A. Karrer","Appointed by the State, Appointed by the investor, President","Eastern Sugar B.V. v. The Czech Republic, SCC Case No. 088/2004"
Partial Dissenting Opinion of Mr. Horacio A. Grigera Naón,,/en/document/opinion/en-encana-corporation-v-republic-of-ecuador-partial-dissenting-opinion-of-mr-horacio-a-grigera-naon-friday-30th-december-2005#opinion_99,Decided in favor of State,"Horacio A. Grigera Naón, Patrick Barrera Sweeney, James R. Crawford","Appointed by the investor, Appointed by the State, President","EnCana Corporation v. Republic of Ecuador, LCIA Case No. UN3481"
Dissenting Opinion on Jurisdiction of Dominic Pellew,,/en/document/opinion/en-energoalians-llc-v-republic-of-moldova-dissenting-opinion-on-jurisdiction-of-dominic-pellew-wednesday-23rd-october-2013#opinion_30,Decided in favor of investor,"Victor Volcinski, Dominic Pellew, Mikhail Savransky","Appointed by the State, President, Appointed by the investor",Energoalians LLC v. Republic of Moldova
Dissenting Opinion by Arbitrator Emmanuel Gaillard,,/en/document/opinion/en-eurogas-inc-and-belmont-resources-inc-v-slovak-republic-dissenting-opinion-by-arbitrator-emmanuel-gaillard-friday-18th-august-2017#opinion_269,Decided in favor of State,,,"EuroGas Inc. and Belmont Resources Inc. v. Slovak Republic, ICSID Case No. ARB/14/14"
Partial Dissent of Professor Raúl Emilio Vinuesa (Award),,/en/document/opinion/en-flughafen-zurich-a-g-and-gestion-e-ingeneria-idc-s-a-v-bolivarian-republic-of-venezuela-partial-dissent-of-professor-raul-emilio-vinuesa-award-monday-10th-november-2014#opinion_31,Decided in favor of investor,"Raúl E. Vinuesa, Henri C. Álvarez, Juan Fernández-Armesto","Appointed by the State, Appointed by the investor, President","Flughafen Zürich A.G. and Gestión e Ingenería IDC S.A. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/10/19"
Dissenting Opinion of Mr. Bernardo M. Cremades (Award),,/en/document/opinion/en-fraport-ag-frankfurt-airport-services-worldwide-v-republic-of-the-philippines-i-dissenting-opinion-of-mr-bernardo-m-cremades-award-thursday-16th-august-2007#opinion_101,Decided in favor of State,"W. Michael Reisman, Bernardo M. Cremades Sanz-Pastor, L. Yves Fortier","Appointed by the State, Appointed by the investor, President","Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines (I), ICSID Case No. ARB/03/25"
Dissenting Opinion by Laurence Boisson de Chazournes (Decision on the Objection to Jurisdiction for Lack of Consent),,/en/document/opinion/en-garanti-koza-llp-v-turkmenistan-dissenting-opinion-by-laurence-boisson-de-chazournes-decision-on-the-objection-to-jurisdiction-for-lack-of-consent-wednesday-3rd-july-2013#opinion_21,Decided in favor of investor,"John M. Townsend, George Constantine Lambrou, Laurence Boisson de Chazournes","President, Appointed by the investor, Appointed by the State","Garanti Koza LLP v. Turkmenistan, ICSID Case No. ARB/11/20"
Dissenting Opinion by Arbitrator Gary Born,,/en/document/opinion/en-global-telecom-holding-s-a-e-v-canada-dissenting-opinion-by-arbitrator-gary-born-friday-27th-march-2020#opinion_2612,Decided in favor of State,,,"Global Telecom Holding S.A.E. v. Canada, ICSID Case No. ARB/16/16"
Dissenting opinion of Giorgio Sacerdoti,,/en/document/opinion/en-greentech-energy-systems-and-novenergia-v-italy-dissenting-opinion-of-giorgio-sacerdoti-sunday-23rd-december-2018#opinion_2089,Decided in favor of investor,"William W. Park, Giorgio Sacerdoti, David R. Haigh","President, Appointed by the State, Appointed by the investor","Greentech Energy Systems A/S, NovEnergia II Energy & Environment (SCA) SICAR, and NovEnergia II Italian Portfolio SA v. The Italian Republic, SCC Case No. V 2015/095"
Dissenting Opinion of Professor Francisco Orrego Vicuña,,/en/document/opinion/en-grupo-francisco-hernando-contreras-v-republic-of-equatorial-guinea-dissenting-opinion-of-francisco-orrego-vicuna-saturday-5th-december-2015#opinion_14,Decided in favor of State,,,"Grupo Francisco Hernando Contreras v. Republic of Equatorial Guinea, ICSID Case No. ARB(AF)/12/2"
Dissenting Opinion of co-arbitrator Manuel Conthe (Award),,/en/document/opinion/en-guaracachi-america-inc-and-rurelec-plc-v-the-plurinational-state-of-bolivia-dissenting-opinion-of-co-arbitrator-manuel-conthe-award-friday-31st-january-2014#opinion_32,Decided in favor of investor,"Raúl E. Vinuesa, Manuel Conthe Gutiérrez, José-Miguel Júdice","Appointed by the State, Appointed by the investor, President","Guaracachi America, Inc. and Rurelec PLC v. The Plurinational State of Bolivia, PCA Case No. 2011-17"
Dissenting Opinion of Judge Charles N. Brower (Partial Award),,/en/document/opinion/en-hicee-b-v-v-the-slovak-republic-dissenting-opinion-of-judge-charles-n-brower-partial-award-monday-23rd-may-2011#opinion_48,Decided in favor of State,"Peter Tomka, Charles N. Brower, Franklin Berman","Appointed by the State, Appointed by the investor, President","HICEE B.V. v. The Slovak Republic, PCA Case No. 2009-11"
"Separate and Dissenting Opinion of J. Christopher Thomas, Q.C. (Decision on Jurisdiction)",,/en/document/opinion/en-hochtief-aktiengesellschaft-v-argentine-republic-separate-and-dissenting-opinion-of-j-christopher-thomas-q-c-decision-on-jurisdiction-friday-7th-october-2011#opinion_62,Discontinued,"J. Christopher Thomas, Charles N. Brower, Vaughan Lowe","Appointed by the State, Appointed by the investor, President","HOCHTIEF Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/07/31"
"A Separate Opinion and A Statement of Dissent By Omar Nabulsi, member of the ad hoc Committee",,/en/document/opinion/en-hussein-nauman-soufraki-v-united-arab-emirates-a-separate-opinion-and-a-statement-of-dissent-by-omar-nabulsi-member-of-the-ad-hoc-committee-tuesday-5th-june-2007#opinion_1800,Decided in favor of State,,,"Hussein Nauman Soufraki v. United Arab Emirates, ICSID Case No. ARB/02/7"
Dissenting Opinion by Arbitrator Guido Santiago Tawil,,/en/document/opinion/en-ic-power-asia-development-israel-v-republic-of-guatemala-dissenting-opinion-by-arbitrator-guido-santiago-tawil-friday-9th-october-2020#opinion_2674,Decided in favor of State,,,"IC Power Asia Development Ltd. v. Republic of Guatemala, PCA Case No. 2019-43"
Dissenting Opinion by Mr. Prosper Weil (Decision on Jurisdiction),,/en/document/opinion/en-tokios-tokeles-v-ukraine-dissenting-opinion-by-mr-prosper-weil-decision-on-jurisdiction-thursday-29th-april-2004#opinion_111,Decided in favor of State,"Piero Bernardini, Daniel M. Price, Prosper Weil","Appointed by the State, Appointed by the investor, President",ICSID Case No. ARB/02/18
Dissenting Opinion by Mr. Daniel M. Price (Award),,/en/document/opinion/en-tokios-tokeles-v-ukraine-dissenting-opinion-by-mr-daniel-m-price-award-thursday-26th-july-2007#opinion_112,Decided in favor of State,"Piero Bernardini, Daniel M. Price, Prosper Weil","Appointed by the State, Appointed by the investor, President",ICSID Case No. ARB/02/18
Dissenting Opinion of José Luis Shaw,,/en/document/opinion/en-iberdrola-energia-s-a-v-republic-of-guatemala-dissenting-opinion-of-jose-luis-shaw-tuesday-13th-january-2015#opinion_275,Decided in favor of State,"José Luis Shaw, Piero Bernardini, Enrique Barros Bourie","Member, Member, President of the Ad Hoc Committee","Iberdrola Energía, S.A. v. Republic of Guatemala (I), ICSID Case No. ARB/09/5"
Concurring and Dissenting Opinion of Judge Charles N. Brower (Award),,/en/document/opinion/en-impregilo-s-p-a-v-argentine-republic-i-concurring-and-dissenting-opinion-of-judge-charles-n-brower-award-tuesday-21st-june-2011#opinion_64,Decided in favor of investor,,,"Impregilo S.p.A. v. Argentine Republic (I), ICSID Case No. ARB/07/17"
Concurring and Dissenting Opinion of Professor Brigitte Stern (Award),,/en/document/opinion/en-impregilo-s-p-a-v-argentine-republic-i-concurring-and-dissenting-opinion-of-professor-brigitte-stern-award-tuesday-21st-june-2011#opinion_63,Decided in favor of investor,,,"Impregilo S.p.A. v. Argentine Republic (I), ICSID Case No. ARB/07/17"
Dissenting Opinion of Sir Franklin Berman,,/en/document/opinion/en-industria-nacional-de-alimentos-s-a-and-indalsa-peru-s-a-formerly-empresas-lucchetti-s-a-and-lucchetti-peru-s-a-v-republic-of-peru-disenting-opinion-of-sir-franklin-berman-wednesday-5th-september-2007#opinion_131,Decided in favor of State,,,"Industria Nacional de Alimentos, S.A. and Indalsa Perú, S.A. (formerly Empresas Lucchetti, S.A. and Lucchetti Perú, S.A.) v. Republic of Peru, ICSID Case No. ARB/03/4"
Partial Dissenting Opinion by Pierre-Marie Dupuy,,/en/document/opinion/en-infrared-environmental-infrastructure-gp-limited-and-others-v-kingdom-of-spain-partial-dissenting-opinion-by-pierre-marie-dupuy-friday-2nd-august-2019#opinion_2549,Decided in favor of investor,"Yuejiao Zhang, Karim S. Hafez, José-Miguel Júdice","Member, Member, President of the Ad Hoc Committee","InfraRed Environmental Infrastructure GP Limited and others v. Kingdom of Spain, ICSID Case No. ARB/14/12"
Dissenting Opinion of Mr. Henri Álvarez (Award),,/en/document/opinion/en-intertrade-holding-gmbh-v-the-czech-republic-dissenting-opinion-of-mr-henri-alvarez-award-tuesday-29th-may-2012#opinion_49,Decided in favor of State,"Brigitte Stern, Henri C. Álvarez, L. Yves Fortier","Appointed by the State, Appointed by the investor, President","InterTrade Holding GmbH v. The Czech Republic, PCA Case No. 2009-12"
Dissenting Opinion of Guido S. Tawil,,/en/document/opinion/en-isolux-infrastructure-netherlands-b-v-v-kingdom-of-spain-dissenting-opinion-of-guido-s-tawil-wednesday-6th-july-2016#opinion_7,Decided in favor of State,,,"Isolux Infrastructure Netherlands B.V. v. Kingdom of Spain, SCC Case No. V2013/153"
Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),,/en/document/opinion/en-itisaluna-iraq-llc-munir-sukhtian-international-investment-llc-vtel-holdings-ltd-vtel-middle-east-and-africa-limited-v-republic-of-iraq-dissenting-opinion-of-wolfgang-peter-friday-3rd-april-2020#opinion_2616,Decided in favor of State,,,"Itisaluna Iraq LLC, Munir Sukhtian International Investment LLC, VTEL Holdings Ltd., VTEL Middle East and Africa Limited v. Republic of Iraq, ICSID Case No. ARB/17/10"
Dissenting Opinion of Winston Spadafora Franco,,/en/document/opinion/en-jean-marc-parienti-v-autoridad-de-transito-y-transporte-terrestre-wednesday-20th-september-2006#opinion_2538,Decided in favor of investor,"Ulises Pitti, Didimo M. Rios, Eduardo Rodríguez, Jr.","Appointed by the investor, Appointed by the State, President",Jean-Marc Parienti v. Autoridad de Transito y Transporte Terrestre
